Question,Answer
How does the "Leave Options" feature enhance employee management?,"It provides flexibility and control over leave policies, ensuring that both employee and organizational needs are met."
Can I reset the leave year for specific employee groups?,"No, the ""Leave Year Starts From"" is a global setting applicable for all employees."
How do I know which employee group a particular employee belongs to?,Navigate to the employee's profile or check under "Select Employee Group" to see group assignments.
What if I need additional validation apart from the mandatory setting?,You would need to customize the leave application process or integrate third-party tools for additional validation.
Can employees see these "Leave Options"?,"It depends on the permissions set by the admin. , ""Leave Options"" are admin-level settings."
How does prohibiting leave application on a present day affect employees?,It ensures that employees plan their leaves in advance and reduces last-minute leave requests.
Can I take attendance data from other modules apart from payroll?,"The current setting integrates with the Payroll Module. For other modules, You need custom integration."
Can I override the "Prohibit cancellation of approved leaves?" for urgent scenarios?,"Yes, with the right admin permissions, manual interventions can override this setting."
What is the default setting for "Leave Year Starts From"?,"The default may vary. , organizations set it to January 1st or the fiscal year start. Check your current setting in the module."
How frequently can I change the "Leave Options"?,"As often as required. However, frequent changes might confuse employees. It's recommended to maintain consistency."
"If ""Validation Is Mandatory"" is on, who validates the leave?","The immediate supervisor or HR validates the leave, but it depends on the organizational hierarchy set in HRMantra."
How does HRMantra know if an employee is present?,"Through the attendance data, either entered manually, imported, or integrated from other modules like Payroll."
How accurate is the attendance data decoding?,"It's highly accurate as it pulls data directly from the Payroll Module, ensuring no discrepancies."
Is there a notification system for approved leaves?,", HRMantras have notification features. Check under ""Leave Options"" or related settings for notification configurations."
Can I export the leave data?,"Yes, HRMantras offer data export functionality."
Can I set different leave options for different employee groups?,"Yes, using the ""Select Employee Group"" feature, you can apply specific settings to different groups."
How are holidays considered in the leave module?,"Holidays are managed in a separate section, but they integrate with the leave module to avoid discrepancies."
Can employees apply for half-day leaves?,"This depends on the ""Leave Options"" settings. If allowed, employees can apply for half or partial-day leaves."
How do I view leave history for an employee?,Navigate to the employee's profile and check the leave section or history tab. This might vary based on the software layout.
What if the payroll module has incorrect attendance data?,Any discrepancies in the Payroll Module will reflect in the Leave Module. It's crucial to ensure accurate data in both modules.
Can I assign multiple validators for leave applications?,You be able to set multiple validators under the "Validation Is Mandatory" or similar settings.
How do I troubleshoot issues in the "Leave Options"?,"Consult the software documentation, seek support from the software vendor, or check any available logs for errors."
Can an employee belong to multiple employee groups?,Yes
How do I add new employee groups?,"Under ""Select Employee Group"", There is an option to create or add new groups. If not, check the main settings or documentation."
Can I automate leave approvals for specific scenarios?,HRMantra systems offer automation based on criteria. Check under "Leave Options" or related settings for automation features.
How do I integrate the payroll module for attendance data?,"The integration is   set up during the initial configuration. If changes are needed, navigate to settings or consult documentation."
Can employees view their leave balance?,"Yes, employees have access to their leave balances, history, and other related details in their profiles."
How do I reset the leave settings to default?,"HRMantra systems offer a ""Reset to Default"" option. If not, You need to manually revert changes or seek support."
Can I set expiration dates for leaves?,Yes
How do I know if "Validation Is Mandatory" is turned on?,Navigate to the "Leave Options" page and check the status of the "Validation Is Mandatory" setting.
How frequently is attendance data pulled from the payroll module?,"This depends on the integration settings. It could be real-time, daily, weekly, monthly or based on a custom schedule."
How do I seek support for the "Leave Options" module?,Check the help section in your HRMantra or contact the software vendor's support team for assistance.
Does leave include weekly offs?,"Yes, weekly offs are included as part of leave if [Condition] is met."
Is a fitness certificate mandatory for certain leaves?,"Yes, a fitness certificate is required for certain leaves as per [Policy]."
Are employee contact details necessary for leave approval?,"Yes, employee contact details are required for leave approval if [Condition] is set."
How is accumulated leave calculated?,Accumulated leave is calculated based on [Formula].
Can leaves end before a weekly off day?,"Yes, leaves can end before a weekly off day if [Condition] is met."
Can leave be credited only on public holidays or weekly offs?,"Yes, leave can be credited only on public holidays or weekly offs if [Condition] is met."
Is it possible to start or end leave on a public holiday?,"Yes, you can start or end leave on a public holiday date if [Condition] is met."
Can employees apply for leave credit?,"No, employees cannot apply for leave credit if [Condition] is set."
How is leave entitlement determined if days exceed a limit?,Leave entitlement is determined based on [Formula] when days exceed the limit.
What rule governs leave entitlement?,Leave entitlement is governed by [Rule].
What happens to unused leaves at the end of the year?,Unused leaves are lapsed at the year-end if [Condition] is met.
How are leave types named?,Leave types are named based on [Naming Convention].
Is marital status considered for leave?,"Yes, marital status may affect leave eligibility as per [Policy]."
How many leave encashment applications are allowed in a year?,The maximum number of leave encashment applications allowed in a year is determined by [Formula].
What is the minimum duration for taking leave?,The minimum duration for taking leave is determined by [Formula].
What is the suffix rule for weekly offs?,The suffix rule for weekly offs is [Rule].
Can employees take leave when they have a negative balance?,"Yes, employees can take leave with a negative balance if [Condition] is met."
Is it possible to start a new leave before the previous one ends?,"Yes, you can start a new leave before the previous one ends if [Condition] is met."
How long is leave credit valid?,Leave credit is valid for [Number of Days] based on [Formula].
How many leave applications are allowed in a year?,The maximum number of leave applications allowed in a year is determined by [Formula].
What is the minimum number of days that can be encashed at once?,The minimum encashable days at a time is determined by [Formula].
Is there a limit on the minimum and maximum leave duration?,"Yes, there are minimum and maximum limits for leave duration."
What data type is used for indicating leave duration?,Leave duration is indicated using the data type "number" or "decimal."
What is the prefix rule for public holidays?,The prefix rule for public holidays is [Rule].
Are there any prefix rules for leave types?,"Yes, there are prefix rules for leave types, such as [Rule]."
How is leave duration rounded off?,Leave duration is rounded off based on [Rounding Method].
Can leaves end before a public holiday?,"Yes, leaves can end before a public holiday if [Condition] is met."
Is leave displayable in workflow processes?,Leave is displayed in workflow processes based on [Formula].
When does leave configuration become effective?,Leave configuration becomes effective on [Effective Date].
Can employees encash their unused leaves?,"Yes, employees can encash their unused leaves if [Condition] is met."
What is the value of a full-day leave?,The value of a full-day leave is [Value].
How many days in advance can future leave be applied for?,Future leave can be applied from the present date up to [Number of Days] based on [Formula].
What is the value of a half-day leave?,The value of a half-day leave is [Value].
Can leave be adjusted during the notice period?,"Yes, leave can be adjusted during the notice period if [Condition] is met."
How is the value of leave determined?,The value of leave is determined based on [Value Calculation].
How is the total leave entitlement calculated for a year?,The total leave entitlement for a year is calculated based on [Formula].
Is there a next step for configuring leave settings?,The next step for configuring leave settings is [Next Step].
Can a new leave be applied immediately after the previous one ends?,"Yes, a different leave application can be applied immediately after the other leaves end."
What method is used for calculating leave entitlement?,Leave entitlement is calculated using the [Calculation Method].
Is leave displayed on employee pay slips?,"Yes, leave is displayed on employee pay slips if [Condition] is met."
Are unused leaves carried forward to the next year?,"No, unused leaves are not carried forward if [Condition] is set."
Are there exceptions to carrying forward leave?,Some leaves may not be carried forward as per [Policy].
How is leave entitlement calculated up to a certain date?,Leave entitlement is calculated up to a certain date based on [Formula].
Can excess leaves taken be recovered from future leaves?,"Yes, excess leaves availed can be recovered from future leaves if [Condition] is met."
What is the time frame for leave approval?,Leave should be approved within [Number of Days] as per [Formula].
What is the suffix rule for leave types?,The suffix rule for leave types is [Rule].
Are there any additional rules for specific leave types?,"Yes, there are specific rules for certain leave types, such as [Rule]."
How far in advance can leave be applied for?,Leave can be applied for up to [Number of Days] in advance based on [Formula].
Is providing a reason mandatory when applying for leave?,"Yes, providing a reason is mandatory when applying for leave if [Condition] is set."
Are there rules for sandwiching leave between two working days?,"Yes, there are sandwiching rules for leave as per [Policy]."
What type of supporting documents are required for leave?,Supporting documents such as [Document Types] are required for leave approval.
What does "to" indicate in leave configuration?,To indicates the end date of leave in the configuration.
What action does clicking "Ok" perform in leave configuration?,Clicking "Ok" confirms and saves the leave configuration settings.
When can employees apply for leave credit again?,Employees can apply for leave credit again within [Number of Days] as per [Formula].
Can leave start after a public holiday?,"Yes, leave can start after a public holiday if [Condition] is met."
Can leave be applied after a specific leave type?,"Yes, leave can be applied after a selected leave type if [Condition] is met."
Are weekly offs and public holidays considered part of leave when availed between them?,"Yes, if leave is availed between a weekly off and a public holiday, they are included as part of leave."
Is leave configuration applicable to specific employee groups?,"Yes, leave configuration can be applied to [Employee Groups]."
Does leave affect an employee's pay?,"Yes, leave may affect an employee's pay based on [Pay Calculation]."
Are there deductions for leaves shorter than a full day?,"Yes, deductions are applied if leave is less than a full day based on [Formula]."
Which public holidays are included as part of leave?,The following public holidays are included as part of leave: [List of Holidays].
Are public holidays considered part of leave?,"Yes, public holidays are considered part of leave if [Condition] is met."
How is leave lapsed based on the leave period cycle?,Leave is lapsed based on the leave period cycle as defined in [Policy].
What is the prefix rule for leave types?,The prefix rule for leave types is [Rule].
How many leave applications are allowed in an employee's lifetime?,The maximum number of leave applications allowed in a lifetime is determined by [Formula].
What is the maximum number of days that can be encashed at once?,The maximum encashable days at a time is determined by [Formula].
What is the suffix rule for public holidays?,The suffix rule for public holidays is [Rule].
Is there a preferred order for leave approval?,"Yes, there may be a preferred order for leave approval as per [Policy]."
What formula determines the required supporting documents for leave?,The required supporting documents for leave are determined by [Formula].
What is the overall structure of leave configuration?,The leave structure includes various settings and rules for managing leave.
Can leave start after a weekly off?,"Yes, leave can start after a weekly off if [Condition] is met."
Is leave configuration uniform for all employee groups?,"Yes, leave configuration can be applied to all employee groups if [Condition] is met."
What rules govern leave crediting?,Leave crediting is governed by [Credit Rules].
Can employees apply for leave after resignation?,"No, employees cannot apply for leave after the resignation date if [Condition] is set."
What factors determine leave entitlement?,Leave entitlement may be based on factors such as [Criteria].
How are public holidays treated in leave calculations?,Public holidays are included as part of leave if [Condition] is met.
Is the leave configuration currently active?,"Yes, the leave configuration is currently [Active/Inactive]."
How is leave lapsation calculated?,Leave lapsation is calculated based on [Formula].
What is the maximum leave carry-forward allowed?,The maximum leave carry-forward is determined by [Formula].
What is the maximum duration for taking leave?,The maximum duration for taking leave is determined by [Formula].
How many leaves are allowed in a month?,The maximum number of leaves allowed in a month is determined by [Formula].
What is the maximum number of leave days allowed in a month?,The maximum number of leave days allowed in a month is determined by [Formula].
Are multiple conditions considered for leave configuration?,"Yes, multiple conditions may be considered using the logical operator ""OR."""
Is the day of the week considered in leave calculation?,"Yes, the day of the week is considered for leave calculation based on [Condition]."
What is the prefix rule for weekly offs?,The prefix rule for weekly offs is [Rule].
Are there rules for sandwiching leave between weekly offs?,"Yes, there are sandwiching rules for leave between weekly offs as per [Policy]."
Can leave be applied before another leave ends?,"Yes, leave can be applied before another leave ends if [Condition] is met."
Can weekly offs be considered as the start or end date of leave?,"Yes, weekly offs can be considered as the start or end date of leave if [Condition] is met."
Are there rules to prevent sandwiching between weekly offs and public holidays?,"Yes, anti-sandwiching rules apply if leave is found between weekly offs and public holidays."
How many days in advance can future leave be applied for?,Future leave can be applied [Number of Days] in advance based on [Formula].
Does an employee's gender affect leave eligibility?,"Yes, an employee's gender may affect leave eligibility as per [Policy]."
Which weekly offs are included as part of leave?,The following weekly offs are included as part of leave: [List of Weekly Offs].
Are both weekly offs and public holidays included as part of leave?,"Yes, both are included if [Condition] is met."
What does it mean if the pattern is invalid in leave configuration?,An invalid pattern indicates that the leave configuration is incorrect or incomplete.
What is the maximum number of leave days allowed in a year?,The maximum number of leave days allowed in a year is determined by [Formula].
What is the rule for sandwiching public holidays in leave?,The rule for sandwiching public holidays in leave is [Rule].
Is the expected delivery date displayed for maternity leave?,"Yes, the expected delivery date is displayed for maternity leave."
Is validation mandatory when applying for leave?,"Yes, validation is mandatory when applying for leave if [Condition] is set."
How can leave be specified for past or future dates?,Leave can be specified either for "past days leaves to be applied" or "before days for future leaves."
Is there a "Previous" option for navigating leave configuration steps?,"Yes, you can navigate to the previous step in leave configuration using the ""Previous"" option."
Can leave credit be applied only when employees work on public holidays and weekly offs?,"Yes, leave credit can be applied only when employees work on public holidays and weekly offs if [Condition] is met."
Can leave be applied for an entire week at once?,"Yes, leave can be applied for the whole week if [Condition] is met."
Are sandwiching rules applied for half-day leave with half-day working?,"Yes, sandwiching rules apply to half-day leave with half-day working as per [Policy]."
Can leave configurations be specific to employee groups?,"Yes, leave configurations can be specific to [Employee Groups]."
Are there extra deductions for certain types of leave?,"Yes, there may be extra deductions for certain types of leave as per [Policy]."
Are there deductions for half-day leaves shorter than a certain duration?,"Yes, deductions are applied for half-day leaves shorter than [Formula]."
Can weekly offs be considered as part of leave duration?,"Yes, weekly offs can be included as part of leave duration if [Condition] is met."
What is the overall structure of leave configuration?,The leave structure includes various settings and rules for managing leave. (continued)
What data type is used to indicate the number of leaves?,The data type "number" or "decimal" is used to indicate the number of leaves.
What is the suffix rule for leave types?,The suffix rule for leave types is [Rule]. (continued)
Can I adjust leave for employees on maternity or paternity leave?,"Yes, use the ""Employee Name"" feature to select the employee and make the necessary adjustments."
What does the "Add / Reduce balance" feature do?,It allows administrators to manually increase or decrease an employee's leave balance.
How can I view the leave history of an employee?,Navigate to the "Leave Balance & History" feature to view a comprehensive history of an employee's leave transactions.
I see an error saying "Leave or leave structure not set". What does this mean?,This means that either the leave type hasn't been defined or the leave structure for the employee is missing.
Why can't I set the adjustment days to zero?,"Adjustment days cannot be zero ensures that a meaningful adjustment is being made, whether it's adding or reducing leave days."
Is it mandatory to validate the adjustments?,"Yes, ""Validation Is Mandatory"" to ensure that the adjustments are accurate and to prevent any errors."
I'm seeing an error about checking leave master or structure. What should I do?,"Please verify if the leave master or leave structure is defined. Also, ensure the employee's personal details are accurate."
Can I adjust the leave for a date in the past?,"Yes, using the ""Adjustment Date"" feature, you can specify a past date for which the leave adjustment should be applicable."
How do I specify which employee's leave I'm adjusting?,Use the "Employee Name" field to select the employee for whom you are making the adjustment.
Can I adjust leave for multiple employees at once?,"Yes, by selecting ""All Employees"", you can adjust leave for everyone at once."
How do I specify the type of leave I'm adjusting?,Use the "Leave Name" dropdown to select the type of leave you're adjusting.
What does the "Leave Adjustment" feature allow me to do?,"It lets you make manual adjustments to an employee's leave balance, whether adding or reducing days."
Can I adjust leave for a future year?,"Yes, using the ""Leave Year"" feature, you can specify the year for which the leave adjustment should be applicable."
How do I reduce an employee's leave balance?,Use the "Reduce Balance" feature to manually decrease an employee's leave days.
Can I add remarks or notes when adjusting leave?,"Yes, the ""Remarks"" field allows you to add any notes or comments related to the leave adjustment."
How do I add to an employee's leave balance?,Use the "Add balance" feature to manually increase an employee's leave days.
Can I see who made a specific leave adjustment?,"Yes, the ""Adjusted By Employee Name"" will display the name of the person who made the adjustment."
How do I specify the number of days for adjustment?,Use the "Adjustment Days" field to input the number of days you wish to add or reduce.
Can I add remarks for all employees when adjusting leave for everyone?,"Yes, use the ""Remarks"" field to add a general note or comment that will apply to the adjustment for all employees."
How do I ensure accuracy when adjusting leave?,Always validate the adjustments using the "Validation Is Mandatory" feature before finalizing.
Can I undo a leave adjustment?,", to undo an adjustment, you'd have to make a counter-adjustment. Check HRMantra specific functionalities for details."
Can I view all past adjustments made for an employee?,"Yes, the ""Leave Balance & History"" feature provides a detailed log of all past leave transactions and adjustments."
How do I handle errors related to leave structures?,Ensure that the leave master or leave structure is defined and that employee personal details (like gender and marital status) are correct.
What happens if I adjust leave for "All Employees"?,The specified adjustment will be applied to the leave balance of every employee in HRMantra.
Can employees view the remarks added during adjustment?,"Depending on your software settings, employees may or may not be able to view the remarks. Check HRMantra documentation."
Can employees adjust their own leave balance?,", only administrators or HR personnel can adjust leave balances. Employees can request adjustments if needed."
How do I know if an adjustment was successful?,"After validation and saving, the software should provide a confirmation message or update the ""Leave Balance & History"" accordingly."
Why might an employee's leave balance not match the expected amount?,"It could be due to manual adjustments, leave taken but not recorded, or errors in the leave structure. Always validate before finalizing."
Can I export the leave adjustment history?,there might be an export feature in the "Leave Balance & History" section. Check HRMantra documentation.
Why is validation mandatory for leave adjustments?,"Validation ensures accuracy, prevents errors, and maintains the integrity of leave data in HRMantra."
How do I handle adjustments for employees who have left the company?,", you shouldn't adjust leave for ex-employees. If needed, consult with HR or use the ""Employee Name"" feature to select the ex-employee."
"Can I set automatic leave adjustments, e.g., yearly increment?",This depends on HRMantra capabilities. Check HRMantra documentation or settings for auto-adjustment features.
How do I handle negative leave balances?,Use the "Add / Reduce balance" feature to adjust accordingly. Consult with HR for policies regarding negative leave balances.
Can I adjust leave for a specific department or team?,"The ""All Employees"" feature adjusts for everyone. For specific teams, you'd need to adjust individually or check HRMantra supports group adjustments."
Is there an audit trail for leave adjustments?,"Yes, the ""Leave Balance & History"" should provide a detailed log of all adjustments made, including who made them and when."
How do I handle errors when adjusting leave?,"Always validate adjustments. If errors persist, consult HRMantra documentation or support team."
How do I know which leave type to adjust for an employee?,Consult with HR or the employee to determine the correct "Leave Name" before making adjustments.
Can managers adjust leave for their team members?,"Depending on software settings and permissions, managers might be able to adjust leave for their direct reports."
What should I do if I accidentally adjust the wrong leave type?,"Make a counter-adjustment to correct the error, then adjust the correct leave type. Always validate adjustments before finalizing."
Can I schedule leave adjustments to be made at a specific time?,This depends on HRMantra capabilities. Check HRMantra documentation or settings for scheduled adjustment features.
How do I handle employees with custom leave structures?,"Use the ""Employee Name"" feature to select the employee, then adjust based on their unique leave structure. Validate before finalizing."
Can employees dispute or challenge leave adjustments?,", employees can raise concerns or requests regarding their leave balance. The resolution process would be as per HR policies."
How frequently should I validate leave balances?,"Regular validation, especially after manual adjustments, ensures accuracy and data integrity."
Can I view a summary of all leave adjustments made in a specific period?,The "Leave Balance & History" should allow you to filter and view adjustments made during a specified timeframe.
How do I adjust leave for part-time employees or those with non-standard working hours?,"Use the ""Employee Name"" feature to select the employee, then adjust based on their working hours or structure. Validate before finalizing."
What should I do if I encounter technical issues while adjusting leave?,Consult HRMantra documentation or contact the support team for assistance.
Can I adjust leave in bulk using a CSV or Excel file?,This depends on HRMantra capabilities. Check HRMantra documentation for bulk adjustment features or integrations.
How do I handle leave adjustments for employees on long-term sick leave?,Consult with HR for policies regarding such adjustments. Use the "Employee Name" feature to select the employee and adjust accordingly.
Can I set permissions for who can adjust leave balances?,"Yes, software allows you to set permissions. Only authorized personnel, like HR or managers, should have adjustment rights."
What precautions should I take when adjusting leave balances?,"Always validate adjustments, ensure you're adjusting the correct leave type for the correct employee, and consult with HR when in doubt."
What is the purpose of the "Reversed Year End Process"?,"This feature allows you to undo the year-end process for leave balances, effectively reverting any changes made during that process."
How do I use the "Stop" feature?,The "Stop" feature allows you to halt any ongoing processes related to leave balances. Simply click on "Stop" to initiate.
How is the "To date" used in leave calculations?,To date refers to the end date for which you want to view or calculate the leave balances.
How are "Total leaves in the year" calculated?,This represents the total number of leaves an employee is entitled to in a given year.
How is the "Leave opening balance" determined?,This is the number of leaves an employee has at the beginning of a year or period.
How will I know if the "Reversed Year End Process" has been updated?,You'll see a notification or status change indicating that the process has been successfully reversed and updated.
How is the "Available leaves (As on date)" calculated?,"It's calculated as (A+B+C)-(E+F), where each letter corresponds to a specific leave parameter."
What does "Carry Forward (Previous Period)" mean?,It represents the leaves from the previous period that are carried forward to the current period.
How are "Leaves Lapsed" determined?,Leaves that aren't used within their validity period will lapse. This feature shows the number of such leaves.
How is "Previous Year Balance" different from opening balance?,"Previous Year Balance refers to the total leaves at the end of the last year, while ""opening balance"" is the starting count for the current year."
Why can't I update the "Year End Process"?,"Once the year-end process is finalized, it cannot be altered to maintain data integrity."
Why do I need to save these dates?,These dates are essential for calculating leave entitlements and other related functionalities.
What does the "Show" feature do?,It allows you to view specific details or records related to leave balances.
How is "Accounting From Date" used?,It's the start date from which leave calculations or records are considered for any given period.
What are "Formula Decoded Heads"?,These are specific parameters or categories used in the leave calculation formula.
How does the "Year End Process" work?,"It's a process that finalizes leave records at the end of the year, including carry forwards and lapses."
What does "As on date" mean?,It refers to the specific date for which you're viewing or calculating the leave balance.
How is this different from "Previous Year Balance"?,"It refers to the leave balance at the end of any given period, not just the year."
How is this calculated?,It represents the total leaves an employee is entitled to from the start of the year up to the current date.
How does "Gender" impact leave calculations?,Some organizations have gender-specific leave policies. This feature ensures accurate leave calculations based on gender.
Why is the "Group joining date" important?,"It's the date when an employee joined a specific group or department, which might affect their leave entitlements."
How does "Joining Date" affect leave calculations?,"Leave entitlements often depend on the duration of employment, making the joining date crucial for accurate calculations."
What does this mean?,It indicates that the leave data is being processed. You can check the progress by clicking on "process status".
How often is the "Year End Process" updated?,"It's updated once a year, but this might vary based on organizational policies."
Why am I seeing this message?,This message appears when an invalid or inappropriate date is entered. Ensure you're entering dates in the correct format and range.
What does this mean?,It indicates that there's no ongoing process that can be halted using the "Stop" feature.
Why am I seeing this prompt?,"It's a confirmation message to ensure you want to continue with the selected action, especially if it's irreversible."
Why can't I run the process?,"Some processes, once initiated, cannot be run simultaneously or repeatedly until they're completed or stopped."
How do I initiate the "Year End Process"?,Click on this option to start the year-end leave calculations and finalizations.
What's the significance of "Accounting To Date"?,It's the end date up to which leave calculations or records are considered for any given period.
How is this different from "Available leaves (As on date)"?,"It's the total leave balance on a specific date, considering all additions and deductions."
How is this calculated?,"It includes all leaves taken by an employee, including those that are yet to be approved."
What does "Manually Adjusted" mean?,It refers to any changes made to the leave balance that weren't a result of the standard leave-taking process.
How does this feature work?,It initiates a specific process or calculation for all employees in HRMantra simultaneously.
Why is the "Last Working Date" important?,"It's the most recent date an employee worked, which can affect leave calculations, especially for those who've left the organization."
What does this mean?,It indicates that there's no history of reversing the year-end process for the selected period or employee.
How is "Leave Name" used?,"It's the specific type or category of leave, e.g., ""Sick Leave"", ""Vacation"", etc."
What happens during the "Leave Year End"?,"It's when all leave records for the year are finalized, including calculations of carry forwards and lapses."
Is this different from "Run For All Employees"?,It's similar but might have specific nuances based on HRMantra functionality.
Why am I seeing this message?,"This message appears when you're trying to initiate a process that requires at least one employee to be selected, but none have been chosen."
What does this mean?,It indicates that an ongoing process has been halted successfully upon your request.
How is "Confirmation Date" used in leave calculations?,It's the date when an employee's probation ends and might affect their leave entitlements.
How is the "From date" used in leave calculations?,It's the start date from which you want to view or calculate the leave balances.
How is this determined?,It shows the number of leaves that will lapse at the end of the year if not used.
How does "Marital Status" impact leave calculations?,"Some organizations have leave policies based on marital status, e.g., marriage leave or paternity leave."
Why is this important?,The "As on date" should always be after the "Joining Date" to ensure accurate leave calculations.
How can I track the progress?,Click on "process status" to see the real-time progress of the data processing.
Why can't I update after the year-end process?,"To maintain data integrity, once the year-end process is finalized, it cannot be altered."
What constitutes a valid date?,A date that falls within the permissible range and is in the correct format is considered valid.
What should I do next?,"If you intended to stop a process, ensure that the process was running in the first place or check if it has already completed."
